player_name,lag_age,lag_years_from_peak,lag_decline_rate,lag_gp,lag_player_height,lag_player_weight,lag_reb,lag_ast,lag_net_rating,lag_oreb_pct,lag_dreb_pct,lag_usg_pct,lag_ts_pct,lag_ast_pct,lag_pts,lag1_age,lag1_years_from_peak,lag1_decline_rate,lag1_gp,lag1_player_height,lag1_player_weight,lag1_reb,lag1_ast,lag1_net_rating,lag1_oreb_pct,lag1_dreb_pct,lag1_usg_pct,lag1_ts_pct,lag1_ast_pct,lag1_pts,lag2_age,lag2_years_from_peak,lag2_decline_rate,lag2_gp,lag2_player_height,lag2_player_weight,lag2_reb,lag2_ast,lag2_net_rating,lag2_oreb_pct,lag2_dreb_pct,lag2_usg_pct,lag2_ts_pct,lag2_ast_pct,lag2_pts
A.C. Green,-0.2250670768262215,-0.19474268716229537,-0.13423421924558687,0.13985748398530945,-0.0015018215954152713,-0.048167559210789995,-0.003105702516372111,-0.012649855347018416,0.08486781333944216,-0.008365676353975091,-0.014968740884040226,-0.035697656412076936,-0.03235693969758813,-0.03422053274161269,-4.25816003180152,-0.10443931757022532,-0.12653257282592104,-0.11395157048473765,0.0986508068466525,-0.006715338874027596,-0.0011273453978862126,0.02628419156286284,-0.029075050265388064,0.15329875221380154,-0.003642969395322414,0.00988400566433315,-0.06885054992827323,-0.07483990694170892,-0.010487092673568281,-0.4070901690671953,-0.07173794371453182,-0.07878055927087929,-0.08520998535048341,-0.009104842901801878,-0.0009188832693161065,0.019811860192647687,0.002818914596444035,-0.028538204004877374,-0.06251785692839468,0.02317035685592404,-0.002670622963485275,-0.045440083496266555,-0.11921259239784054,-0.05939630664537875,-0.1610795452795083
A.J. Lawson,0.09774173940535882,0.09406705171972005,0.07992646002245346,-0.29173121316555956,-0.009833963947329622,0.07711912825336943,-0.03410077143332649,-0.03948073585721217,0.02598837250613042,-0.04181194984063512,-0.012315963527504659,0.009304224207187526,0.007886096368855008,-0.041611602454459384,-1.2436607842733145,0.08417661859360726,0.15654641267492347,0.14040157122694355,-0.08995573562971358,0.003575208758449799,0.003421617725142769,-0.09853165849358288,-0.04914128819358841,0.09317992815028453,-0.014007530972334238,-0.03687684521022138,0.0296759977751136,-0.059194753308847235,-0.0035028283802777884,-0.32549852916460703,0.04872819015038929,0.048191502874073366,0.08327802517321267,-0.03796652040439319,0.004720824795241322,0.012782216160663142,-0.00339804424951834,-0.07419570632692228,0.07064649546005504,-0.03201215249905704,0.015005134223164756,0.023942834705664794,0.08295273482918895,-0.03725560346796002,-0.11712782914299688
AJ Green,0.08242890546000527,0.12373006865166826,0.07627080902091395,0.011043079166873256,2.5391506262093108e-05,0.0703168280467762,-0.024110493430195418,-0.026064670748487926,0.3210077117243752,0.021645055712939905,-0.023306263729830978,-0.12282798616815953,0.07055119109067137,0.03084041421077648,-2.714357944812323,0.04357220152742103,0.07904052664804477,0.08605076611676242,-0.008209352796218207,-0.00010369211622247421,0.09359574918920616,-0.025931850409956353,-0.021723748047053522,0.11982805919465157,0.023290256313328303,0.06065961853070807,-0.08591769713560869,-0.046160600516602174,-0.007503025949606996,-0.28892553851249236,0.046571666153130985,0.05616888244782616,0.03047961458278237,-0.09634184377610466,0.027339887621179493,0.06815137526327714,0.0016081751350717525,-0.04335359170637559,-0.047275654871880984,0.044729195447125114,0.012187736368068254,-0.11124662680624567,0.20208589206196456,-0.03202548574455807,-0.10778661409796308
AJ Price,0.15362548251337163,0.05558046535402997,0.07948086597333459,-0.19036970019656668,0.006503925091938763,0.10153783904702499,0.041578325432208955,-0.021984114799008938,-0.4526315512874898,-0.001525695757258946,-0.023895888811122184,0.16287663764400034,-0.03157550850368461,-0.0031054027810898804,-3.2315870032295004,0.03086954206371231,0.04737073679000662,0.03737927653915255,-0.0764348393446219,0.006675533199337568,-0.03861350574124432,-0.13393606934240626,-0.047044039945028295,-0.018224830944361798,-0.2540369828893334,-0.026237617022963778,0.135785132484442,-0.0747061538264106,0.006486050540796651,-0.3147267889678845,0.0013231619586582003,-0.02253403087801799,-0.0016688369563001518,-0.00799141340958112,-0.02130371734348328,0.030884544987961015,-0.011867322268404593,0.081653067917591,-0.029134537463180177,0.0062491185594848175,0.008522697922951353,-0.09309977425725784,-0.028172804473085154,0.07631688203153023,-0.024244779796320646
Aaron Brooks,-0.09573531925668995,-0.07117531846411777,-0.07576603786103656,-0.11491077182926601,0.0077502627327885746,0.014283404489676282,-0.03394434013805541,0.0058504130863958285,-0.2825267601772042,0.021279610004900588,0.05696228372750587,0.05709339177843831,0.04205114853597589,0.006293479335819707,-5.006323670010407,-0.07621197286472978,-0.06627824067365087,-0.10008739169589577,0.0375005325431479,0.008866021287662562,0.03319256304691529,-0.03289057147717992,-0.0052434765403796295,-0.12445819563191192,0.00881361259718805,0.006935291483818559,0.04754468453784619,-0.022023917029104827,0.011084288380913241,-0.13552402235201463,-0.03714349461107704,-0.040512254855693965,-0.031147653248362574,-0.013727047280952647,0.006664406969572593,0.03221302175221956,-0.022041624685072498,0.012500083380862018,-0.018848299611416503,0.0052468027526986075,0.04486886329229095,0.21053842905188624,-0.05885283157212687,0.06784720544832501,-0.07096021253458558
Aaron Gordon,0.01711751782217657,-0.05811014685473335,-0.022937475698372286,-0.03356262660924558,-0.005780453754515095,-0.0027270729730149096,0.010723755989102307,0.023752447689248214,0.3959590049753571,0.01785336280434526,-0.00654363303723586,-0.07277380225982485,0.1953449075220391,-0.002525605563857928,3.4203290504565778,0.010003474368683913,-0.021140445470082866,-0.00921215577242958,-0.017746258807767173,0.018336855932249332,-0.028511797304286695,-0.0066262421051247865,0.010142430518301458,0.15226618009180598,0.040847864189589043,0.0029868801312182103,-0.06954694202691851,0.048579395939645297,0.021771067351182352,0.13369026341743329,-0.027299690319670306,-0.027979350359833823,-0.04605263727618426,-0.0006998974995007928,-0.00039628212917211465,0.001994742859514967,2.2831995071180906e-05,0.03481350931005275,-0.002875206107243537,-0.012339420982858706,0.013738901334162975,-0.036896998222128566,0.02320060872776512,0.0017847717182685138,0.0980706918060042
Aaron Gray,-0.006623501953653149,-0.028755971847769055,-0.02023944723535728,-0.09715839550636204,-0.006048182773264577,-0.07929258911895279,-0.046636947179523464,-0.004329595807382514,-0.23774959540222745,0.0249060675423945,-0.007285859984890455,-0.16405175599318192,-0.03320544252400254,-0.004142141824539858,-6.084039867915043,-0.005913945501660998,-0.022792687295191877,-0.00976102902325281,-0.030843427546879663,0.004185826463148967,-0.013747093880084873,-0.010094270614863426,0.004192068018044876,-0.09096460294083178,-0.0061445085279310625,0.0029110445511176942,-0.093302849730867,0.030909874393702817,0.005600874035792158,-0.33103330647976187,-0.009155854272080906,-0.005408119379128909,-0.015991891852401675,-0.023153143572639954,0.018228917426534937,0.016227732414395395,0.009725103106779954,-0.0199549292452897,-0.019655681958180737,-0.01699979155250214,-0.009145360801625367,-0.13708539048672297,-0.028943377097297412,-0.04942360130671751,-0.08576697400391407
Aaron Harrison,0.1903392473939175,0.21542109250243194,0.149057823688685,-0.2872008183091493,0.0036911493760027215,0.11855171761548325,-0.00984626567605357,-0.03434224358306682,-0.3496549858622562,-0.05208861931880109,-0.061964308525667755,-0.0424507514153425,-0.026131768774801844,0.003118037035700385,-3.280682904886792,0.08355821907330589,0.051303330956438555,0.07762257183860677,-0.024755827221679953,0.004026045718336306,0.05949954040124928,-0.14165106022622287,-0.02804280028324986,-0.24155575773721447,-0.14990159467689956,0.049647254642474,-0.09032781485011683,0.002846874036553051,0.058336644318044334,-0.2275189168653379,0.09387081637374023,0.07225573118156431,0.0647590356315415,-0.16625478943725033,0.012783851756311996,-0.013195476158340854,-0.018465280212349822,-0.029107037600543298,0.01513072299586027,0.02140323823389838,0.0016002908237045615,-0.0853714313581762,0.05738311603204326,0.0013463258642597794,-0.16499584869498796
Aaron Holiday,0.04607405616896398,0.04351397684563642,0.039562831242608315,-0.01650136131979126,0.009663209572810028,0.3225707370040242,0.027026047470400435,-0.033186399677129434,0.23213815324815848,-0.004363135686026847,0.02871843509536179,-0.03460863502058676,0.05050526829206364,0.030579398561776237,-3.5613311790834183,-0.0017203800982533574,0.020054646458396087,0.054438560100129034,0.05155512966902719,0.007419176382175093,0.0582595840380051,-0.02168559980581134,-0.008133347033240645,0.10634005118471615,-0.05379919070198521,0.05035060829438286,-0.11757335514499737,0.02618181884494778,0.03414659881022332,-0.15889841387976592,-0.014658007657674192,-0.029411462511122543,0.013480246588828848,0.003631244198381329,0.00022037672077645533,0.01696320072626591,-0.07210552485862991,-0.03507826586412687,0.0054575430848912195,-0.0025917389039502464,-0.03164030968962159,-0.11790535338164021,-0.023495250996125996,0.04031566502557484,-0.2414332764987881
Aaron McKie,-0.08420215240679498,-0.0570201564644208,-0.07150077844476023,-0.18162002281139925,0.005435204502020981,0.04165382634452398,-0.04853513144160004,-0.008341371935687923,-0.09740143294165789,0.04296819244768235,-0.020917306700160437,-0.1749727238590621,0.07251188421529403,-0.0002893244507576638,-5.6008777433379535,-0.055884515262311814,-0.07025502668150872,-0.07768631940885336,-0.01823703258623872,0.006629500401334387,0.015412728611311896,-0.04668484414860484,-0.027033388753582435,-0.08011995193147266,0.0033701954897966714,0.03324973609036638,-0.12417385300208839,0.06562857888350614,0.010850927082636425,-0.38900288794648574,-0.03717806939292481,-0.030292570367289738,-0.04515588474563522,8.234104993984287e-05,0.011694784147273773,-0.005297853504009193,-0.014772462256044925,0.01132398641133092,-0.015082472768476731,0.023001334653032408,-0.005650258155322877,-0.16963762385533018,-0.03961036309372565,0.01800350249238808,-0.11933682435245656
